Title,IMSRB_title_url,IMSRB_scripts_url
"Debt, The","https://www.imsdb.com/Movie Scripts/Debt, The Script.html","https://www.imsdb.com/scripts/Debt,-The.html"
Deep Cover,https://www.imsdb.com/Movie Scripts/Deep Cover Script.html,https://www.imsdb.com/scripts/Deep-Cover.html
Deep Rising,https://www.imsdb.com/Movie Scripts/Deep Rising Script.html,https://www.imsdb.com/scripts/Deep-Rising.html
Defiance,https://www.imsdb.com/Movie Scripts/Defiance Script.html,https://www.imsdb.com/scripts/Defiance.html
Die Hard,https://www.imsdb.com/Movie Scripts/Die Hard Script.html,https://www.imsdb.com/scripts/Die-Hard.html
Die Hard 2,https://www.imsdb.com/Movie Scripts/Die Hard 2 Script.html,https://www.imsdb.com/scripts/Die-Hard-2.html
Dragonslayer,https://www.imsdb.com/Movie Scripts/Dragonslayer Script.html,https://www.imsdb.com/scripts/Dragonslayer.html
Drive,https://www.imsdb.com/Movie Scripts/Drive Script.html,https://www.imsdb.com/scripts/Drive.html
Drive Angry,https://www.imsdb.com/Movie Scripts/Drive Angry Script.html,https://www.imsdb.com/scripts/Drive-Angry.html
Dune,https://www.imsdb.com/Movie Scripts/Dune Script.html,https://www.imsdb.com/scripts/Dune.html
Eagle Eye,https://www.imsdb.com/Movie Scripts/Eagle Eye Script.html,https://www.imsdb.com/scripts/Eagle-Eye.html
Eight Legged Freaks,https://www.imsdb.com/Movie Scripts/Eight Legged Freaks Script.html,https://www.imsdb.com/scripts/Eight-Legged-Freaks.html
El Mariachi,https://www.imsdb.com/Movie Scripts/El Mariachi Script.html,https://www.imsdb.com/scripts/El-Mariachi.html
Enemy of the State,https://www.imsdb.com/Movie Scripts/Enemy of the State Script.html,https://www.imsdb.com/scripts/Enemy-of-the-State.html
Entrapment,https://www.imsdb.com/Movie Scripts/Entrapment Script.html,https://www.imsdb.com/scripts/Entrapment.html
Equilibrium,https://www.imsdb.com/Movie Scripts/Equilibrium Script.html,https://www.imsdb.com/scripts/Equilibrium.pdf
Escape From L.A.,https://www.imsdb.com/Movie Scripts/Escape From L.A. Script.html,https://www.imsdb.com/scripts/Escape-From-L.A..html
Escape From New York,https://www.imsdb.com/Movie Scripts/Escape From New York Script.html,https://www.imsdb.com/scripts/Escape-From-New-York.html
Evil Dead II: Dead by Dawn,https://www.imsdb.com/Movie Scripts/Evil Dead II: Dead by Dawn Script.html,https://www.imsdb.com/scripts/Evil-Dead-II-Dead-by-Dawn.html
Executive Decision,https://www.imsdb.com/Movie Scripts/Executive Decision Script.html,NA
Face Off,https://www.imsdb.com/Movie Scripts/Face Off Script.html,https://www.imsdb.com/scripts/Face-Off.html
Fair Game,https://www.imsdb.com/Movie Scripts/Fair Game Script.html,https://www.imsdb.com/scripts/Fair-Game.html
Fantastic Four,https://www.imsdb.com/Movie Scripts/Fantastic Four Script.html,https://www.imsdb.com/scripts/Fantastic-Four.html
Feast,https://www.imsdb.com/Movie Scripts/Feast Script.html,https://www.imsdb.com/scripts/Feast.html
"Fifth Element, The","https://www.imsdb.com/Movie Scripts/Fifth Element, The Script.html","https://www.imsdb.com/scripts/Fifth-Element,-The.html"
Fight Club,https://www.imsdb.com/Movie Scripts/Fight Club Script.html,https://www.imsdb.com/scripts/Fight-Club.html
Flash Gordon,https://www.imsdb.com/Movie Scripts/Flash Gordon Script.html,https://www.imsdb.com/scripts/Flash-Gordon.html
Freddy vs. Jason,https://www.imsdb.com/Movie Scripts/Freddy vs. Jason Script.html,https://www.imsdb.com/scripts/Freddy-vs.-Jason.html
"French Connection, The","https://www.imsdb.com/Movie Scripts/French Connection, The Script.html","https://www.imsdb.com/scripts/French-Connection,-The.html"
From Dusk Till Dawn,https://www.imsdb.com/Movie Scripts/From Dusk Till Dawn Script.html,https://www.imsdb.com/scripts/From-Dusk-Till-Dawn.html
"Fugitive, The","https://www.imsdb.com/Movie Scripts/Fugitive, The Script.html","https://www.imsdb.com/scripts/Fugitive,-The.html"
Fury,https://www.imsdb.com/Movie Scripts/Fury Script.html,NA
G.I. Jane,https://www.imsdb.com/Movie Scripts/G.I. Jane Script.html,https://www.imsdb.com/scripts/G.I.-Jane.html
G.I. Joe: The Rise of Cobra,https://www.imsdb.com/Movie Scripts/G.I. Joe: The Rise of Cobra Script.html,https://www.imsdb.com/scripts/G.I.-Joe-The-Rise-of-Cobra.html
Gamer,https://www.imsdb.com/Movie Scripts/Gamer Script.html,https://www.imsdb.com/scripts/Gamer.html
Get Carter,https://www.imsdb.com/Movie Scripts/Get Carter Script.html,https://www.imsdb.com/scripts/Get-Carter.html
Get Shorty,https://www.imsdb.com/Movie Scripts/Get Shorty Script.html,https://www.imsdb.com/scripts/Get-Shorty.html
"Getaway, The","https://www.imsdb.com/Movie Scripts/Getaway, The Script.html","https://www.imsdb.com/scripts/Getaway,-The.html"
"Ghost and the Darkness, The","https://www.imsdb.com/Movie Scripts/Ghost and the Darkness, The Script.html","https://www.imsdb.com/scripts/Ghost-and-the-Darkness,-The.html"
Ghost Rider,https://www.imsdb.com/Movie Scripts/Ghost Rider Script.html,https://www.imsdb.com/scripts/Ghost-Rider.html
Ghost Ship,https://www.imsdb.com/Movie Scripts/Ghost Ship Script.html,https://www.imsdb.com/scripts/Ghost-Ship.html
Ghostbusters 2,https://www.imsdb.com/Movie Scripts/Ghostbusters 2 Script.html,https://www.imsdb.com/scripts/Ghostbusters-2.html
Gladiator,https://www.imsdb.com/Movie Scripts/Gladiator Script.html,https://www.imsdb.com/scripts/Gladiator.html
Godzilla,https://www.imsdb.com/Movie Scripts/Godzilla Script.html,https://www.imsdb.com/scripts/Godzilla.html
Gone in 60 Seconds,https://www.imsdb.com/Movie Scripts/Gone in 60 Seconds Script.html,https://www.imsdb.com/scripts/Gone-in-60-Seconds.html
Guardians of the Galaxy Vol 2,https://www.imsdb.com/Movie Scripts/Guardians of the Galaxy Vol 2 Script.html,https://www.imsdb.com/scripts/Guardians-of-the-Galaxy-Vol-2.html
Hackers,https://www.imsdb.com/Movie Scripts/Hackers Script.html,https://www.imsdb.com/scripts/Hackers.html
Hancock,https://www.imsdb.com/Movie Scripts/Hancock Script.html,https://www.imsdb.com/scripts/Hancock.html
Hanna,https://www.imsdb.com/Movie Scripts/Hanna Script.html,https://www.imsdb.com/scripts/Hanna.html
Hard Rain,https://www.imsdb.com/Movie Scripts/Hard Rain Script.html,https://www.imsdb.com/scripts/Hard-Rain.html
Hard to Kill,https://www.imsdb.com/Movie Scripts/Hard to Kill Script.html,https://www.imsdb.com/scripts/Hard-to-Kill.html
Harry Potter and the Half-Blood Prince,https://www.imsdb.com/Movie Scripts/Harry Potter and the Half-Blood Prince Script.html,NA
Heat,https://www.imsdb.com/Movie Scripts/Heat Script.html,https://www.imsdb.com/scripts/Heat.html
Heavy Metal,https://www.imsdb.com/Movie Scripts/Heavy Metal Script.html,https://www.imsdb.com/scripts/Heavy-Metal.html
Hellboy,https://www.imsdb.com/Movie Scripts/Hellboy Script.html,https://www.imsdb.com/scripts/Hellboy.html
Hellboy 2: The Golden Army,https://www.imsdb.com/Movie Scripts/Hellboy 2: The Golden Army Script.html,https://www.imsdb.com/scripts/Hellboy-2-The-Golden-Army.html
Highlander,https://www.imsdb.com/Movie Scripts/Highlander Script.html,https://www.imsdb.com/scripts/Highlander.html
Highlander: Endgame,https://www.imsdb.com/Movie Scripts/Highlander: Endgame Script.html,https://www.imsdb.com/scripts/Highlander-Endgame.html
Hostage,https://www.imsdb.com/Movie Scripts/Hostage Script.html,https://www.imsdb.com/scripts/Hostage.html
How to Train Your Dragon 2,https://www.imsdb.com/Movie Scripts/How to Train Your Dragon 2 Script.html,https://www.imsdb.com/scripts/How-to-Train-Your-Dragon-2.html
Hudson Hawk,https://www.imsdb.com/Movie Scripts/Hudson Hawk Script.html,https://www.imsdb.com/scripts/Hudson-Hawk.html
"Hunt for Red October, The","https://www.imsdb.com/Movie Scripts/Hunt for Red October, The Script.html","https://www.imsdb.com/scripts/Hunt-for-Red-October,-The.html"
I Am Number Four,https://www.imsdb.com/Movie Scripts/I Am Number Four Script.html,https://www.imsdb.com/scripts/I-Am-Number-Four.html
"I, Robot","https://www.imsdb.com/Movie Scripts/I, Robot Script.html","https://www.imsdb.com/scripts/I,-Robot.html"
Inception,https://www.imsdb.com/Movie Scripts/Inception Script.html,https://www.imsdb.com/scripts/Inception.html
"Incredibles, The","https://www.imsdb.com/Movie Scripts/Incredibles, The Script.html","https://www.imsdb.com/scripts/Incredibles,-The.html"
Independence Day,https://www.imsdb.com/Movie Scripts/Independence Day Script.html,https://www.imsdb.com/scripts/Independence-Day.html
Indiana Jones and the Last Crusade,https://www.imsdb.com/Movie Scripts/Indiana Jones and the Last Crusade Script.html,https://www.imsdb.com/scripts/Indiana-Jones-and-the-Last-Crusade.html
Indiana Jones and the Raiders of the Lost Ark,https://www.imsdb.com/Movie Scripts/Indiana Jones and the Raiders of the Lost Ark Script.html,https://www.imsdb.com/scripts/Indiana-Jones-and-the-Raiders-of-the-Lost-Ark.html
Indiana Jones and the Temple of Doom,https://www.imsdb.com/Movie Scripts/Indiana Jones and the Temple of Doom Script.html,https://www.imsdb.com/scripts/Indiana-Jones-and-the-Temple-of-Doom.html
Indiana Jones IV,https://www.imsdb.com/Movie Scripts/Indiana Jones IV Script.html,https://www.imsdb.com/scripts/Indiana-Jones-IV.html
Inglourious Basterds,https://www.imsdb.com/Movie Scripts/Inglourious Basterds Script.html,https://www.imsdb.com/scripts/Inglourious-Basterds.html
Innerspace,https://www.imsdb.com/Movie Scripts/Innerspace Script.html,NA
"Island, The","https://www.imsdb.com/Movie Scripts/Island, The Script.html","https://www.imsdb.com/scripts/Island,-The.html"
"Italian Job, The","https://www.imsdb.com/Movie Scripts/Italian Job, The Script.html","https://www.imsdb.com/scripts/Italian-Job,-The.html"
Jade,https://www.imsdb.com/Movie Scripts/Jade Script.html,https://www.imsdb.com/scripts/Jade.pdf
Jason X,https://www.imsdb.com/Movie Scripts/Jason X Script.html,https://www.imsdb.com/scripts/Jason-X.html
Jimmy and Judy,https://www.imsdb.com/Movie Scripts/Jimmy and Judy Script.html,https://www.imsdb.com/scripts/Jimmy-and-Judy.html
John Wick,https://www.imsdb.com/Movie Scripts/John Wick Script.html,https://www.imsdb.com/scripts/John-Wick.html
Judge Dredd,https://www.imsdb.com/Movie Scripts/Judge Dredd Script.html,https://www.imsdb.com/scripts/Judge-Dredd.html
Jurassic Park,https://www.imsdb.com/Movie Scripts/Jurassic Park Script.html,https://www.imsdb.com/scripts/Jurassic-Park.html
Jurassic Park III,https://www.imsdb.com/Movie Scripts/Jurassic Park III Script.html,https://www.imsdb.com/scripts/Jurassic-Park-III.html
Jurassic Park: The Lost World,https://www.imsdb.com/Movie Scripts/Jurassic Park: The Lost World Script.html,https://www.imsdb.com/scripts/Jurassic-Park-The-Lost-World.html
Kill Bill Volume 1 & 2,https://www.imsdb.com/Movie Scripts/Kill Bill Volume 1 & 2 Script.html,https://www.imsdb.com/scripts/Kill-Bill-Volume-1-&-2.html
King Kong,https://www.imsdb.com/Movie Scripts/King Kong Script.html,https://www.imsdb.com/scripts/King-Kong.html
"Kingdom, The","https://www.imsdb.com/Movie Scripts/Kingdom, The Script.html","https://www.imsdb.com/scripts/Kingdom,-The.html"
Kung Fu Panda,https://www.imsdb.com/Movie Scripts/Kung Fu Panda Script.html,https://www.imsdb.com/scripts/Kung-Fu-Panda.html
Lake Placid,https://www.imsdb.com/Movie Scripts/Lake Placid Script.html,https://www.imsdb.com/scripts/Lake-Placid.html
Land of the Dead,https://www.imsdb.com/Movie Scripts/Land of the Dead Script.html,https://www.imsdb.com/scripts/Land-of-the-Dead.html
"Last Boy Scout, The","https://www.imsdb.com/Movie Scripts/Last Boy Scout, The Script.html","https://www.imsdb.com/scripts/Last-Boy-Scout,-The.html"
"Last Samurai, The","https://www.imsdb.com/Movie Scripts/Last Samurai, The Script.html","https://www.imsdb.com/scripts/Last-Samurai,-The.html"
Legion,https://www.imsdb.com/Movie Scripts/Legion Script.html,https://www.imsdb.com/scripts/Legion.html
"LEGO Movie, The","https://www.imsdb.com/Movie Scripts/LEGO Movie, The Script.html","https://www.imsdb.com/scripts/LEGO-Movie,-The.html"
Les Tontons Flingueurs,https://www.imsdb.com/Movie Scripts/Les Tontons Flingueurs Script.html,https://www.imsdb.com/scripts/Les-Tontons-Flingueurs.html
Lethal Weapon,https://www.imsdb.com/Movie Scripts/Lethal Weapon Script.html,NA
Lethal Weapon 4,https://www.imsdb.com/Movie Scripts/Lethal Weapon 4 Script.html,NA
Logan,https://www.imsdb.com/Movie Scripts/Logan Script.html,https://www.imsdb.com/scripts/Logan.html
Logan's Run,https://www.imsdb.com/Movie Scripts/Logan's Run Script.html,https://www.imsdb.com/scripts/Logan's-Run.html
"Long Kiss Goodnight, The","https://www.imsdb.com/Movie Scripts/Long Kiss Goodnight, The Script.html","https://www.imsdb.com/scripts/Long-Kiss-Goodnight,-The.html"
Looper,https://www.imsdb.com/Movie Scripts/Looper Script.html,https://www.imsdb.com/scripts/Looper.html
"Lord of the Rings: Fellowship of the Ring, The","https://www.imsdb.com/Movie Scripts/Lord of the Rings: Fellowship of the Ring, The Script.html","https://www.imsdb.com/scripts/Lord-of-the-Rings-Fellowship-of-the-Ring,-The.html"
Lord of the Rings: Return of the King,https://www.imsdb.com/Movie Scripts/Lord of the Rings: Return of the King Script.html,https://www.imsdb.com/scripts/Lord-of-the-Rings-Return-of-the-King.html
Lord of the Rings: The Two Towers,https://www.imsdb.com/Movie Scripts/Lord of the Rings: The Two Towers Script.html,https://www.imsdb.com/scripts/Lord-of-the-Rings-The-Two-Towers.html
"Losers, The","https://www.imsdb.com/Movie Scripts/Losers, The Script.html","https://www.imsdb.com/scripts/Losers,-The.html"
Lost in Space,https://www.imsdb.com/Movie Scripts/Lost in Space Script.html,https://www.imsdb.com/scripts/Lost-in-Space.html
Machete,https://www.imsdb.com/Movie Scripts/Machete Script.html,https://www.imsdb.com/scripts/Machete.html
Machine Gun Preacher,https://www.imsdb.com/Movie Scripts/Machine Gun Preacher Script.html,https://www.imsdb.com/scripts/Machine-Gun-Preacher.html
Mad Max 2: The Road Warrior,https://www.imsdb.com/Movie Scripts/Mad Max 2: The Road Warrior Script.html,https://www.imsdb.com/scripts/Mad-Max-2-The-Road-Warrior.html
Man in the Iron Mask,https://www.imsdb.com/Movie Scripts/Man in the Iron Mask Script.html,https://www.imsdb.com/scripts/Man-in-the-Iron-Mask.html
Man On Fire,https://www.imsdb.com/Movie Scripts/Man On Fire Script.html,https://www.imsdb.com/scripts/Man-On-Fire.html
"Mariachi, El","https://www.imsdb.com/Movie Scripts/Mariachi, El Script.html","https://www.imsdb.com/scripts/Mariachi,-El.html"
"Mask, The","https://www.imsdb.com/Movie Scripts/Mask, The Script.html","https://www.imsdb.com/scripts/Mask,-The.html"
Master and Commander,https://www.imsdb.com/Movie Scripts/Master and Commander Script.html,https://www.imsdb.com/scripts/Master-and-Commander.html
"Matrix Reloaded, The","https://www.imsdb.com/Movie Scripts/Matrix Reloaded, The Script.html","https://www.imsdb.com/scripts/Matrix-Reloaded,-The.html"
"Matrix, The","https://www.imsdb.com/Movie Scripts/Matrix, The Script.html","https://www.imsdb.com/scripts/Matrix,-The.html"
Max Payne,https://www.imsdb.com/Movie Scripts/Max Payne Script.html,https://www.imsdb.com/scripts/Max-Payne.html
"Mechanic, The","https://www.imsdb.com/Movie Scripts/Mechanic, The Script.html","https://www.imsdb.com/scripts/Mechanic,-The.html"
Megamind,https://www.imsdb.com/Movie Scripts/Megamind Script.html,https://www.imsdb.com/scripts/Megamind.html
Men in Black,https://www.imsdb.com/Movie Scripts/Men in Black Script.html,https://www.imsdb.com/scripts/Men-in-Black.html
Men in Black 3,https://www.imsdb.com/Movie Scripts/Men in Black 3 Script.html,https://www.imsdb.com/scripts/Men-in-Black-3.html
Metro,https://www.imsdb.com/Movie Scripts/Metro Script.html,https://www.imsdb.com/scripts/Metro.html
Miami Vice,https://www.imsdb.com/Movie Scripts/Miami Vice Script.html,https://www.imsdb.com/scripts/Miami-Vice.html
Mighty Joe Young,https://www.imsdb.com/Movie Scripts/Mighty Joe Young Script.html,https://www.imsdb.com/scripts/Mighty-Joe-Young.html
Mighty Morphin Power Rangers: The Movie,https://www.imsdb.com/Movie Scripts/Mighty Morphin Power Rangers: The Movie Script.html,https://www.imsdb.com/scripts/Mighty-Morphin-Power-Rangers-The-Movie.html
Minority Report,https://www.imsdb.com/Movie Scripts/Minority Report Script.html,https://www.imsdb.com/scripts/Minority-Report.html
